,steps,metric,training_loss,validation_loss,validation_acc
0,0,training_loss,10727.3193359375,,
1,1,training_loss,10501.3115234375,,
2,2,training_loss,10977.310546875,,
3,3,training_loss,10638.4072265625,,
4,4,training_loss,11054.0908203125,,
5,5,training_loss,10802.240234375,,
6,6,training_loss,10618.7373046875,,
7,7,training_loss,10843.76171875,,
8,8,training_loss,11367.857421875,,
9,9,training_loss,10213.5419921875,,
10,10,training_loss,10858.734375,,
11,11,training_loss,10648.9501953125,,
12,12,training_loss,10554.26171875,,
13,13,training_loss,10511.048828125,,
14,14,training_loss,10265.7109375,,
15,15,training_loss,10907.3544921875,,
16,16,training_loss,10771.11328125,,
17,17,training_loss,11169.52734375,,
18,18,training_loss,10932.8193359375,,
19,19,training_loss,11353.8544921875,,
20,20,training_loss,10853.025390625,,
21,21,training_loss,9854.6982421875,,
22,22,training_loss,10821.150390625,,
23,23,training_loss,10823.806640625,,
24,24,training_loss,11357.8251953125,,
25,25,training_loss,9681.3798828125,,
26,26,training_loss,10813.072265625,,
27,27,training_loss,10730.0869140625,,
28,28,training_loss,10605.7958984375,,
29,29,training_loss,10423.8515625,,
30,30,training_loss,10962.3818359375,,
31,31,training_loss,10934.6533203125,,
32,32,training_loss,10994.6357421875,,
33,33,training_loss,9958.1845703125,,
34,34,training_loss,10794.6435546875,,
35,35,training_loss,10432.65234375,,
36,36,training_loss,10668.7978515625,,
37,37,training_loss,10981.7041015625,,
38,38,training_loss,11514.75390625,,
39,39,training_loss,10348.2626953125,,
40,40,training_loss,10981.1923828125,,
41,41,training_loss,10592.1708984375,,
42,42,training_loss,9954.404296875,,
43,43,training_loss,10348.861328125,,
44,44,training_loss,10479.94921875,,
45,45,training_loss,10342.1064453125,,
46,46,training_loss,10574.23046875,,
47,47,training_loss,10897.4267578125,,
48,48,training_loss,10858.935546875,,
49,49,training_loss,10854.240234375,,
50,50,training_loss,10796.6650390625,,
51,51,training_loss,11010.0830078125,,
52,52,training_loss,11526.1923828125,,
53,53,training_loss,10260.7578125,,
54,54,training_loss,10920.4296875,,
55,55,training_loss,10631.099609375,,
56,56,training_loss,10815.24609375,,
57,57,training_loss,11072.9619140625,,
58,58,training_loss,10990.9501953125,,
59,59,training_loss,10609.923828125,,
60,60,training_loss,10948.5634765625,,
61,61,training_loss,10340.8740234375,,
62,62,training_loss,10566.8505859375,,
63,63,training_loss,10804.5068359375,,
64,64,training_loss,10913.0087890625,,
65,65,training_loss,10576.6015625,,
66,66,training_loss,10022.025390625,,
67,67,training_loss,10078.904296875,,
68,68,training_loss,10375.662109375,,
69,69,training_loss,10457.8271484375,,
70,70,training_loss,10684.1796875,,
71,71,training_loss,10490.376953125,,
72,72,training_loss,11132.5126953125,,
73,73,training_loss,10717.5361328125,,
74,74,training_loss,10167.96484375,,
75,75,training_loss,10489.263671875,,
76,76,training_loss,9837.8779296875,,
77,77,training_loss,10512.0791015625,,
78,78,training_loss,10635.60546875,,
79,79,training_loss,10006.7294921875,,
80,80,training_loss,10461.3251953125,,
81,81,training_loss,11115.5576171875,,
82,82,training_loss,9755.6728515625,,
83,83,training_loss,10071.8095703125,,
84,84,training_loss,10360.58984375,,
85,85,training_loss,10497.587890625,,
86,86,training_loss,9913.0146484375,,
87,87,training_loss,10148.55859375,,
88,88,training_loss,10763.4375,,
89,89,training_loss,10805.29296875,,
90,90,training_loss,10282.966796875,,
91,91,training_loss,10467.8876953125,,
92,92,training_loss,10253.923828125,,
93,93,training_loss,10478.900390625,,
94,94,training_loss,11298.3486328125,,
95,95,training_loss,10549.01171875,,
96,96,training_loss,10813.205078125,,
97,97,training_loss,10876.0087890625,,
98,98,training_loss,9958.7919921875,,
99,99,training_loss,10641.8193359375,,
100,100,validation_loss,10458.886859411283,,
101,100,validation_acc,0.0,,
102,100,training_loss,10053.5146484375,,
103,101,training_loss,10140.08984375,,
104,102,training_loss,10925.8056640625,,
105,103,training_loss,10527.3876953125,,
106,104,training_loss,10361.4443359375,,
107,105,training_loss,10043.2158203125,,
108,106,training_loss,10526.80859375,,
109,107,training_loss,10568.486328125,,
110,108,training_loss,10340.017578125,,
111,109,training_loss,9922.5986328125,,
112,110,training_loss,10941.0732421875,,
113,111,training_loss,10541.9130859375,,
114,112,training_loss,10911.2607421875,,
115,113,training_loss,9487.4169921875,,
116,114,training_loss,9613.56640625,,
117,115,training_loss,9592.5234375,,
118,116,training_loss,10030.3720703125,,
119,117,training_loss,10408.0126953125,,
120,118,training_loss,10234.8623046875,,
121,119,training_loss,10266.3662109375,,
122,120,training_loss,10441.619140625,,
123,121,training_loss,11075.5849609375,,
124,122,training_loss,9926.4814453125,,
125,123,training_loss,10315.025390625,,
126,124,training_loss,9733.8134765625,,
127,125,training_loss,10859.8046875,,
128,126,training_loss,10247.1982421875,,
129,127,training_loss,11049.4443359375,,
130,128,training_loss,10459.6669921875,,
131,129,training_loss,10577.896484375,,
132,130,training_loss,10041.3720703125,,
133,131,training_loss,10923.869140625,,
134,132,training_loss,9844.962890625,,
135,133,training_loss,10851.037109375,,
136,134,training_loss,10020.5771484375,,
137,135,training_loss,10325.9384765625,,
138,136,training_loss,9953.7998046875,,
139,137,training_loss,9815.62109375,,
140,138,training_loss,10130.2333984375,,
141,139,training_loss,10515.513671875,,
142,140,training_loss,10249.2900390625,,
143,141,training_loss,9515.0029296875,,
144,142,training_loss,10704.4609375,,
145,143,training_loss,9814.05078125,,
146,144,training_loss,10418.1328125,,
147,145,training_loss,10050.6796875,,
148,146,training_loss,9712.212890625,,
149,147,training_loss,10136.1005859375,,
150,148,training_loss,10237.9443359375,,
151,149,training_loss,8870.251953125,,
152,150,training_loss,10418.02734375,,
153,151,training_loss,10135.4404296875,,
154,152,training_loss,10046.9814453125,,
155,153,training_loss,10453.9462890625,,
156,154,training_loss,9987.49609375,,
157,155,training_loss,10476.275390625,,
158,156,training_loss,9784.927734375,,
159,157,training_loss,10083.4228515625,,
160,158,training_loss,9606.9248046875,,
161,159,training_loss,10371.7578125,,
162,160,training_loss,10167.5732421875,,
163,161,training_loss,10625.0234375,,
164,162,training_loss,9695.876953125,,
165,163,training_loss,9534.373046875,,
166,164,training_loss,9222.8935546875,,
167,165,training_loss,9897.7197265625,,
168,166,training_loss,9969.4072265625,,
169,167,training_loss,9405.5634765625,,
170,168,training_loss,9822.138671875,,
171,169,training_loss,9465.458984375,,
172,170,training_loss,10148.2734375,,
173,171,training_loss,10031.677734375,,
174,172,training_loss,9097.3994140625,,
175,173,training_loss,9869.708984375,,
176,174,training_loss,10081.720703125,,
177,175,training_loss,9787.4873046875,,
178,176,training_loss,10360.2626953125,,
179,177,training_loss,10056.1884765625,,
180,178,training_loss,9364.142578125,,
181,179,training_loss,9254.0126953125,,
182,180,training_loss,9850.2626953125,,
183,181,training_loss,9483.7109375,,
184,182,training_loss,9843.0361328125,,
185,183,training_loss,10418.962890625,,
186,184,training_loss,9774.8876953125,,
187,185,training_loss,9935.5478515625,,
188,186,training_loss,10003.11328125,,
189,187,training_loss,9896.8388671875,,
190,188,training_loss,9325.7294921875,,
191,189,training_loss,10072.4873046875,,
192,190,training_loss,9520.0673828125,,
193,191,training_loss,9917.951171875,,
194,192,training_loss,9330.0146484375,,
195,193,training_loss,9908.59765625,,
196,194,training_loss,9465.1396484375,,
197,195,training_loss,9559.9150390625,,
198,196,training_loss,10156.5673828125,,
199,197,training_loss,9343.099609375,,
200,198,training_loss,9532.716796875,,
201,199,training_loss,9636.3212890625,,
202,200,validation_loss,9617.374617284691,,
203,200,validation_acc,0.0,,
204,200,training_loss,9659.173828125,,
205,201,training_loss,9807.9345703125,,
206,202,training_loss,9760.208984375,,
207,203,training_loss,9677.427734375,,
208,204,training_loss,9397.7021484375,,
209,205,training_loss,9374.564453125,,
210,206,training_loss,9981.904296875,,
211,207,training_loss,9961.650390625,,
212,208,training_loss,9646.86328125,,
213,209,training_loss,9945.9345703125,,
214,210,training_loss,9411.23828125,,
215,211,training_loss,9678.9462890625,,
216,212,training_loss,9342.396484375,,
217,213,training_loss,9657.9130859375,,
218,214,training_loss,9693.1728515625,,
219,215,training_loss,8978.1591796875,,
220,216,training_loss,9155.30078125,,
221,217,training_loss,9208.677734375,,
222,218,training_loss,9226.1806640625,,
223,219,training_loss,9689.4599609375,,
224,220,training_loss,9448.310546875,,
225,221,training_loss,9217.734375,,
226,222,training_loss,9334.431640625,,
227,223,training_loss,8962.0146484375,,
228,224,training_loss,9738.8291015625,,
229,225,training_loss,9336.9873046875,,
230,226,training_loss,9562.689453125,,
231,227,training_loss,8888.896484375,,
232,228,training_loss,8838.21875,,
233,229,training_loss,9291.3876953125,,
234,230,training_loss,9326.2109375,,
235,231,training_loss,9142.4833984375,,
236,232,training_loss,9173.5859375,,
237,233,training_loss,8870.208984375,,
238,234,training_loss,8922.6318359375,,
239,235,training_loss,9731.2822265625,,
240,236,training_loss,8903.994140625,,
241,237,training_loss,8895.212890625,,
242,238,training_loss,8853.58203125,,
243,239,training_loss,9231.9189453125,,
244,240,training_loss,8777.7080078125,,
245,241,training_loss,9863.8837890625,,
246,242,training_loss,9454.6044921875,,
247,243,training_loss,8800.30859375,,
248,244,training_loss,8977.9150390625,,
249,245,training_loss,8767.7412109375,,
250,246,training_loss,8792.61328125,,
251,247,training_loss,8908.1435546875,,
252,248,training_loss,8777.3837890625,,
253,249,training_loss,8484.4970703125,,
254,250,training_loss,8967.30859375,,
255,251,training_loss,9211.884765625,,
256,252,training_loss,9282.15625,,
257,253,training_loss,8550.765625,,
258,254,training_loss,8636.1015625,,
259,255,training_loss,9255.6708984375,,
260,256,training_loss,9469.248046875,,
261,257,training_loss,9214.888671875,,
262,258,training_loss,8628.65234375,,
263,259,training_loss,8985.0029296875,,
264,260,training_loss,8839.798828125,,
265,261,training_loss,8424.45703125,,
266,262,training_loss,9323.3798828125,,
267,263,training_loss,9108.5986328125,,
268,264,training_loss,8641.72265625,,
269,265,training_loss,8335.6474609375,,
270,266,training_loss,8818.619140625,,
271,267,training_loss,8479.8115234375,,
272,268,training_loss,8992.6328125,,
273,269,training_loss,8576.15234375,,
274,270,training_loss,9123.5576171875,,
275,271,training_loss,8490.0810546875,,
276,272,training_loss,8417.21484375,,
277,273,training_loss,8938.9619140625,,
278,274,training_loss,8511.0791015625,,
279,275,training_loss,9083.48828125,,
280,276,training_loss,8518.3271484375,,
281,277,training_loss,8480.5234375,,
282,278,training_loss,8531.9130859375,,
283,279,training_loss,8986.1376953125,,
284,280,training_loss,8656.962890625,,
285,281,training_loss,8463.1328125,,
286,282,training_loss,8610.4296875,,
287,283,training_loss,9252.697265625,,
288,284,training_loss,7644.44921875,,
289,285,training_loss,8476.6962890625,,
290,286,training_loss,9006.9716796875,,
291,287,training_loss,8387.04296875,,
292,288,training_loss,7980.93701171875,,
293,289,training_loss,7829.236328125,,
294,290,training_loss,8247.26171875,,
295,291,training_loss,8663.857421875,,
296,292,training_loss,8428.9755859375,,
297,293,training_loss,7758.91064453125,,
298,294,training_loss,8018.9990234375,,
299,295,training_loss,7668.27197265625,,
300,296,training_loss,8721.068359375,,
301,297,training_loss,8431.8076171875,,
302,298,training_loss,8178.14404296875,,
303,299,training_loss,7898.8193359375,,
304,300,validation_loss,8277.397053526556,,
305,300,validation_acc,0.0,,
306,300,training_loss,8489.1005859375,,
307,301,training_loss,8079.265625,,
308,302,training_loss,7958.92431640625,,
309,303,training_loss,8235.0244140625,,
310,304,training_loss,7913.2080078125,,
311,305,training_loss,7484.04931640625,,
312,306,training_loss,8265.8447265625,,
313,307,training_loss,8294.28125,,
314,308,training_loss,8292.8427734375,,
315,309,training_loss,8180.404296875,,
316,310,training_loss,7871.95556640625,,
317,311,training_loss,8478.7021484375,,
318,312,training_loss,8415.275390625,,
319,313,training_loss,7552.0732421875,,
320,314,training_loss,8189.2177734375,,
321,315,training_loss,7865.62353515625,,
322,316,training_loss,7727.7275390625,,
323,317,training_loss,8106.47314453125,,
324,318,training_loss,7898.8701171875,,
325,319,training_loss,8700.953125,,
326,320,training_loss,7991.33642578125,,
327,321,training_loss,7481.66064453125,,
328,322,training_loss,8424.349609375,,
329,323,training_loss,8173.16064453125,,
330,324,training_loss,7885.57666015625,,
331,325,training_loss,7817.07666015625,,
332,326,training_loss,7911.4326171875,,
333,327,training_loss,7462.97802734375,,
334,328,training_loss,7761.5888671875,,
335,329,training_loss,7751.39599609375,,
336,330,training_loss,7755.14013671875,,
337,331,training_loss,7801.00341796875,,
338,332,training_loss,7696.24462890625,,
339,333,training_loss,7664.5966796875,,
340,334,training_loss,7852.4833984375,,
341,335,training_loss,7912.36279296875,,
342,336,training_loss,7595.08984375,,
343,337,training_loss,7222.00244140625,,
344,338,training_loss,7779.7138671875,,
345,339,training_loss,7428.98681640625,,
346,340,training_loss,7926.3330078125,,
347,341,training_loss,7276.95751953125,,
348,342,training_loss,7926.630859375,,
349,343,training_loss,7688.8212890625,,
350,344,training_loss,7360.1181640625,,
351,345,training_loss,7174.36279296875,,
352,346,training_loss,7100.962890625,,
353,347,training_loss,7712.150390625,,
354,348,training_loss,7007.26171875,,
355,349,training_loss,7441.296875,,
356,350,training_loss,6710.3837890625,,
357,351,training_loss,6945.837890625,,
358,352,training_loss,8017.685546875,,
359,353,training_loss,7422.43896484375,,
360,354,training_loss,7268.2939453125,,
361,355,training_loss,7194.75244140625,,
362,356,training_loss,7614.1943359375,,
363,357,training_loss,7056.7763671875,,
364,358,training_loss,7123.2822265625,,
365,359,training_loss,7393.14404296875,,
366,360,training_loss,8145.615234375,,
367,361,training_loss,7254.2294921875,,
368,362,training_loss,7246.6279296875,,
369,363,training_loss,7283.09326171875,,
370,364,training_loss,7420.462890625,,
371,365,training_loss,6616.81494140625,,
372,366,training_loss,6752.13427734375,,
373,367,training_loss,7314.89453125,,
374,368,training_loss,6777.12646484375,,
375,369,training_loss,7108.74560546875,,
376,370,training_loss,7710.6318359375,,
377,371,training_loss,7012.97314453125,,
378,372,training_loss,6810.291015625,,
379,373,training_loss,7199.67138671875,,
380,374,training_loss,7018.2783203125,,
381,375,training_loss,6679.904296875,,
382,376,training_loss,6654.1005859375,,
383,377,training_loss,7060.97216796875,,
384,378,training_loss,7177.60546875,,
385,379,training_loss,7140.9423828125,,
386,380,training_loss,6620.80078125,,
387,381,training_loss,7058.40576171875,,
388,382,training_loss,7046.1357421875,,
389,383,training_loss,6653.04248046875,,
390,384,training_loss,6434.19189453125,,
391,385,training_loss,7165.1171875,,
392,386,training_loss,6551.0439453125,,
393,387,training_loss,6565.396484375,,
394,388,training_loss,7258.330078125,,
395,389,training_loss,7079.71240234375,,
396,390,training_loss,6547.2314453125,,
397,391,training_loss,6501.05810546875,,
398,392,training_loss,6134.3095703125,,
399,393,training_loss,6226.5966796875,,
400,394,training_loss,6469.7841796875,,
401,395,training_loss,6434.78271484375,,
402,396,training_loss,6206.10205078125,,
403,397,training_loss,6355.51611328125,,
404,398,training_loss,6352.81787109375,,
405,399,training_loss,6138.91162109375,,
406,400,validation_loss,6488.043295507448,,
407,400,validation_acc,0.01488095238095238,,
408,400,training_loss,6311.732421875,,
409,401,training_loss,6501.935546875,,
410,402,training_loss,6346.1513671875,,
411,403,training_loss,6809.1376953125,,
412,404,training_loss,6512.322265625,,
413,405,training_loss,6347.392578125,,
414,406,training_loss,6531.853515625,,
415,407,training_loss,6693.5703125,,
416,408,training_loss,6527.873046875,,
417,409,training_loss,6525.31298828125,,
418,410,training_loss,5699.53466796875,,
419,411,training_loss,6266.42529296875,,
420,412,training_loss,6130.7314453125,,
421,413,training_loss,5800.53125,,
422,414,training_loss,6223.98388671875,,
423,415,training_loss,5755.30859375,,
424,416,training_loss,6169.26806640625,,
425,417,training_loss,5976.28857421875,,
426,418,training_loss,5707.12744140625,,
427,419,training_loss,6217.77099609375,,
428,420,training_loss,5911.357421875,,
429,421,training_loss,6152.24951171875,,
430,422,training_loss,5790.1875,,
431,423,training_loss,6030.7734375,,
432,424,training_loss,6229.58837890625,,
433,425,training_loss,6749.3359375,,
434,426,training_loss,5916.14453125,,
435,427,training_loss,5643.3857421875,,
436,428,training_loss,5932.15869140625,,
437,429,training_loss,6044.28173828125,,
438,430,training_loss,6050.2431640625,,
439,431,training_loss,5715.1982421875,,
440,432,training_loss,5482.25634765625,,
441,433,training_loss,6053.6572265625,,
442,434,training_loss,5621.9951171875,,
443,435,training_loss,5873.34033203125,,
444,436,training_loss,6251.41357421875,,
445,437,training_loss,5427.966796875,,
446,438,training_loss,5739.5947265625,,
447,439,training_loss,5229.00537109375,,
448,440,training_loss,5651.40966796875,,
449,441,training_loss,5726.98583984375,,
450,442,training_loss,5784.51904296875,,
451,443,training_loss,5678.97216796875,,
452,444,training_loss,5578.69580078125,,
453,445,training_loss,5840.07373046875,,
454,446,training_loss,5017.09130859375,,
455,447,training_loss,5237.22021484375,,
456,448,training_loss,5228.0029296875,,
457,449,training_loss,5487.58984375,,
458,450,training_loss,5747.2421875,,
459,451,training_loss,5433.7021484375,,
460,452,training_loss,5673.96337890625,,
461,453,training_loss,4907.36279296875,,
462,454,training_loss,5371.38037109375,,
463,455,training_loss,5771.47998046875,,
464,456,training_loss,5661.2275390625,,
465,457,training_loss,5639.25341796875,,
466,458,training_loss,5235.86181640625,,
467,459,training_loss,5360.5625,,
468,460,training_loss,5092.0439453125,,
469,461,training_loss,5249.45751953125,,
470,462,training_loss,5143.09619140625,,
471,463,training_loss,5095.42724609375,,
472,464,training_loss,4751.9658203125,,
473,465,training_loss,5631.47265625,,
474,466,training_loss,4838.0615234375,,
475,467,training_loss,5919.70361328125,,
476,468,training_loss,5230.03759765625,,
477,469,training_loss,5543.326171875,,
478,470,training_loss,4782.07177734375,,
479,471,training_loss,5007.1123046875,,
480,472,training_loss,4878.4990234375,,
481,473,training_loss,5156.21533203125,,
482,474,training_loss,4726.88720703125,,
483,475,training_loss,4674.52197265625,,
484,476,training_loss,5306.7568359375,,
485,477,training_loss,4802.1044921875,,
486,478,training_loss,4630.044921875,,
487,479,training_loss,5038.5634765625,,
488,480,training_loss,4940.40234375,,
489,481,training_loss,4819.3369140625,,
490,482,training_loss,4904.2119140625,,
491,483,training_loss,4618.52197265625,,
492,484,training_loss,4087.72607421875,,
493,485,training_loss,4877.1650390625,,
494,486,training_loss,4253.9296875,,
495,487,training_loss,4398.34716796875,,
496,488,training_loss,4696.47900390625,,
497,489,training_loss,5003.22509765625,,
498,490,training_loss,4140.88134765625,,
499,491,training_loss,4352.99169921875,,
500,492,training_loss,4539.0224609375,,
501,493,training_loss,4492.236328125,,
502,494,training_loss,5079.00244140625,,
503,495,training_loss,4117.13330078125,,
504,496,training_loss,3992.224609375,,
505,497,training_loss,4296.2392578125,,
506,498,training_loss,4335.74462890625,,
507,499,training_loss,4076.41748046875,,
508,500,validation_loss,4432.303080245513,,
509,500,validation_acc,0.043154761904761904,,
510,500,training_loss,4204.103515625,,
511,501,training_loss,4550.60009765625,,
512,502,training_loss,4272.33837890625,,
513,503,training_loss,3866.1455078125,,
514,504,training_loss,4312.69677734375,,
515,505,training_loss,4625.8154296875,,
516,506,training_loss,4110.50634765625,,
517,507,training_loss,4284.9384765625,,
518,508,training_loss,4328.25927734375,,
519,509,training_loss,3956.0107421875,,
520,510,training_loss,4098.99853515625,,
521,511,training_loss,4102.66259765625,,
522,512,training_loss,4522.87060546875,,
523,513,training_loss,4093.189697265625,,
524,514,training_loss,4130.5498046875,,
525,515,training_loss,3797.569580078125,,
526,516,training_loss,4115.30908203125,,
527,517,training_loss,4073.80517578125,,
528,518,training_loss,3946.06005859375,,
529,519,training_loss,4407.89599609375,,
530,520,training_loss,4251.97314453125,,
531,521,training_loss,4146.61669921875,,
532,522,training_loss,4080.6123046875,,
533,523,training_loss,3578.74658203125,,
534,524,training_loss,3912.794677734375,,
535,525,training_loss,3464.6962890625,,
536,526,training_loss,3799.752685546875,,
537,527,training_loss,3663.87939453125,,
538,528,training_loss,4343.23828125,,
539,529,training_loss,3761.24755859375,,
540,530,training_loss,3854.773681640625,,
541,531,training_loss,3736.485595703125,,
542,532,training_loss,3668.604248046875,,
543,533,training_loss,3752.597900390625,,
544,534,training_loss,3713.75244140625,,
545,535,training_loss,4147.27685546875,,
546,536,training_loss,3855.340087890625,,
547,537,training_loss,3856.7041015625,,
548,538,training_loss,3789.536865234375,,
549,539,training_loss,3808.351806640625,,
550,540,training_loss,3451.423095703125,,
551,541,training_loss,3333.107666015625,,
552,542,training_loss,3695.557373046875,,
553,543,training_loss,3133.951904296875,,
554,544,training_loss,3938.4580078125,,
555,545,training_loss,3409.185302734375,,
556,546,training_loss,3714.657470703125,,
557,547,training_loss,3244.4658203125,,
558,548,training_loss,3364.469482421875,,
559,549,training_loss,3072.37109375,,
560,550,training_loss,3495.279296875,,
561,551,training_loss,3276.75634765625,,
562,552,training_loss,3191.24609375,,
563,553,training_loss,2905.658935546875,,
564,554,training_loss,3211.118408203125,,
565,555,training_loss,3186.47900390625,,
566,556,training_loss,3452.5,,
567,557,training_loss,3057.57177734375,,
568,558,training_loss,3156.593505859375,,
569,559,training_loss,3380.836669921875,,
570,560,training_loss,3237.253173828125,,
571,561,training_loss,3371.02197265625,,
572,562,training_loss,3502.3466796875,,
573,563,training_loss,3111.26318359375,,
574,564,training_loss,3603.882568359375,,
575,565,training_loss,3501.99462890625,,
576,566,training_loss,3390.2744140625,,
577,567,training_loss,3056.62939453125,,
578,568,training_loss,2844.94384765625,,
579,569,training_loss,3499.834716796875,,
580,570,training_loss,3132.66064453125,,
581,571,training_loss,3294.930419921875,,
582,572,training_loss,3161.956298828125,,
583,573,training_loss,3071.9033203125,,
584,574,training_loss,3378.51025390625,,
585,575,training_loss,3030.384033203125,,
586,576,training_loss,2961.1611328125,,
587,577,training_loss,2735.678955078125,,
588,578,training_loss,3378.430908203125,,
589,579,training_loss,2884.755126953125,,
590,580,training_loss,2702.310791015625,,
591,581,training_loss,2899.12451171875,,
592,582,training_loss,2666.98876953125,,
593,583,training_loss,2876.218017578125,,
594,584,training_loss,2825.454345703125,,
595,585,training_loss,2781.65966796875,,
596,586,training_loss,2770.521240234375,,
597,587,training_loss,2927.74169921875,,
598,588,training_loss,2925.947509765625,,
599,589,training_loss,2760.197998046875,,
600,590,training_loss,2497.2939453125,,
601,591,training_loss,2518.775146484375,,
602,592,training_loss,2631.19580078125,,
603,593,training_loss,2770.19775390625,,
604,594,training_loss,2845.891845703125,,
605,595,training_loss,2529.829833984375,,
606,596,training_loss,2556.728759765625,,
607,597,training_loss,2933.27294921875,,
608,598,training_loss,3098.455810546875,,
609,599,training_loss,2472.3759765625,,
610,600,validation_loss,2677.962036073382,,
611,600,validation_acc,0.055357142857142855,,
612,600,training_loss,2514.7939453125,,
613,601,training_loss,2419.494384765625,,
614,602,training_loss,2814.8134765625,,
615,603,training_loss,2612.037841796875,,
616,604,training_loss,2658.8193359375,,
617,605,training_loss,2656.99755859375,,
618,606,training_loss,2303.955322265625,,
619,607,training_loss,2243.9111328125,,
620,608,training_loss,2222.760986328125,,
621,609,training_loss,2685.513671875,,
622,610,training_loss,2589.718994140625,,
623,611,training_loss,2653.10205078125,,
624,612,training_loss,2635.318603515625,,
625,613,training_loss,2587.9892578125,,
626,614,training_loss,2595.94970703125,,
627,615,training_loss,2378.720947265625,,
628,616,training_loss,2525.266845703125,,
629,617,training_loss,2447.464111328125,,
630,618,training_loss,2309.65771484375,,
631,619,training_loss,2507.2021484375,,
632,620,training_loss,2343.787109375,,
633,621,training_loss,2225.1328125,,
634,622,training_loss,2504.0732421875,,
635,623,training_loss,2413.242431640625,,
636,624,training_loss,2156.330810546875,,
637,625,training_loss,2072.067138671875,,
638,626,training_loss,2082.91357421875,,
639,627,training_loss,2144.73876953125,,
640,628,training_loss,2265.2080078125,,
641,629,training_loss,2597.63818359375,,
642,630,training_loss,2336.832763671875,,
643,631,training_loss,2286.5537109375,,
644,632,training_loss,2463.900146484375,,
645,633,training_loss,1921.1741943359375,,
646,634,training_loss,2162.448486328125,,
647,635,training_loss,1881.427734375,,
648,636,training_loss,2324.390625,,
649,637,training_loss,2289.8173828125,,
650,638,training_loss,2006.1876220703125,,
651,639,training_loss,1939.444580078125,,
652,640,training_loss,2491.45166015625,,
653,641,training_loss,2066.151123046875,,
654,642,training_loss,2030.5966796875,,
655,643,training_loss,2132.974609375,,
656,644,training_loss,2059.3115234375,,
657,645,training_loss,2007.1123046875,,
658,646,training_loss,2052.553466796875,,
659,647,training_loss,2228.51416015625,,
660,648,training_loss,2070.671142578125,,
661,649,training_loss,2288.06103515625,,
662,650,training_loss,2059.457275390625,,
663,651,training_loss,1973.169677734375,,
664,652,training_loss,2132.89697265625,,
665,653,training_loss,1967.186279296875,,
666,654,training_loss,1914.0048828125,,
667,655,training_loss,1946.91796875,,
668,656,training_loss,1952.3048095703125,,
669,657,training_loss,1919.635986328125,,
670,658,training_loss,1963.0318603515625,,
671,659,training_loss,1918.6212158203125,,
672,660,training_loss,1911.5496826171875,,
673,661,training_loss,2319.347412109375,,
674,662,training_loss,1745.37548828125,,
675,663,training_loss,2054.142578125,,
676,664,training_loss,1829.548828125,,
677,665,training_loss,1531.720947265625,,
678,666,training_loss,1611.7203369140625,,
679,667,training_loss,1809.8857421875,,
680,668,training_loss,1862.2257080078125,,
681,669,training_loss,2018.0584716796875,,
682,670,training_loss,1654.7412109375,,
683,671,training_loss,1741.263427734375,,
684,672,training_loss,1830.9735107421875,,
685,673,training_loss,1830.8759765625,,
686,674,training_loss,1731.948486328125,,
687,675,training_loss,1677.341064453125,,
688,676,training_loss,1852.048828125,,
689,677,training_loss,1924.51416015625,,
690,678,training_loss,1935.5628662109375,,
691,679,training_loss,1556.8873291015625,,
692,680,training_loss,1712.9112548828125,,
693,681,training_loss,1639.4180908203125,,
694,682,training_loss,1870.04150390625,,
695,683,training_loss,1476.76513671875,,
696,684,training_loss,1755.122314453125,,
697,685,training_loss,1350.279296875,,
698,686,training_loss,1559.3428955078125,,
699,687,training_loss,1634.57470703125,,
700,688,training_loss,1684.386474609375,,
701,689,training_loss,1757.27587890625,,
702,690,training_loss,1683.78466796875,,
703,691,training_loss,1800.6915283203125,,
704,692,training_loss,1862.7344970703125,,
705,693,training_loss,1581.0675048828125,,
706,694,training_loss,1639.3873291015625,,
707,695,training_loss,1398.323974609375,,
708,696,training_loss,1718.714111328125,,
709,697,training_loss,1446.2196044921875,,
710,698,training_loss,1776.3758544921875,,
711,699,training_loss,1573.72314453125,,
712,700,validation_loss,1607.245433517631,,
713,700,validation_acc,0.18333333333333332,,
714,700,training_loss,1485.859619140625,,
715,701,training_loss,1727.321533203125,,
716,702,training_loss,1480.8985595703125,,
717,703,training_loss,1496.462890625,,
718,704,training_loss,1437.3839111328125,,
719,705,training_loss,1707.3245849609375,,
720,706,training_loss,1825.840087890625,,
721,707,training_loss,1575.600341796875,,
722,708,training_loss,1568.4727783203125,,
723,709,training_loss,1584.7030029296875,,
724,710,training_loss,1523.7349853515625,,
725,711,training_loss,1389.66162109375,,
726,712,training_loss,1427.874267578125,,
727,713,training_loss,1312.9774169921875,,
728,714,training_loss,1402.4161376953125,,
729,715,training_loss,1555.8756103515625,,
730,716,training_loss,1588.8443603515625,,
731,717,training_loss,1292.4776611328125,,
732,718,training_loss,1345.9544677734375,,
733,719,training_loss,1537.3868408203125,,
734,720,training_loss,1361.6768798828125,,
735,721,training_loss,1451.7218017578125,,
736,722,training_loss,1500.406494140625,,
737,723,training_loss,1362.1629638671875,,
738,724,training_loss,1464.898193359375,,
739,725,training_loss,1330.783447265625,,
740,726,training_loss,1596.8974609375,,
741,727,training_loss,1478.12744140625,,
742,728,training_loss,1361.0518798828125,,
743,729,training_loss,1350.3099365234375,,
744,730,training_loss,1255.3275146484375,,
